S.No.,State,Name and Address of Medical College / Medical Institution,Starting Year,Rank
368,Maharashtra,"Indian Institute of Medical Science & Research, Jalna",2013,70
369,Uttar Pradesh,"Integral Institute of Medical Sciences & Research, Lucknow",2013,70
370,West Bengal,"IQ-City Medical College, Burdwan",2013,70
371,Andhra Pradesh,"Kamineni Academy of Medical Sciences & Research Center,
  Hyderabad",2013,70
372,Chattisgarh,"Late Shri Lakhi Ram Agrawal Memorial Govt. Medical College,
  Raigarh",2013,70
373,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan",2013,70
374,Andhra Pradesh,"Mallareddy Medical College for Womens, Hyderabad",2013,70
375,Uttar Pradesh,Manyavar Kanshi Ram Ji Government Allopathic Medical College,2013,70
376,Delhi,"North Delhi Muncipal Corporation Medical College, Delhi",2013,70
377,Orissa,"Sardar Rajas Medical College, Hospital and Research Centre,
  Jaring, Kalahandi",2013,70
378,Haryana,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar",2013,70
379,Karnataka,"Shridevi Institute of Medical Sciences & Research Hospital,
  Tumkur",2013,70
380,Bihar,"Vardhman Institute of Medical Sciences, Pawapuri, Nalanda",2013,70
381,Tamil Nadu,"Velammal Medical College Hospital and Research Institute,
  Madurai",2013,70
